Date,Symbol,Adj Close,Close,High,Low,Open,Volume,Exchange,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Weight,S&P500
2024-09-13,PTC,172.22999572753906,172.22999572753906,172.83999633789062,170.11000061035156,170.83999633789062,807100.0,NMS,PTC Inc.,PTC Inc.,Technology,Software - Application,172.23,20690849792,592105984.0,-0.044,Boston,MA,United States,7452.0,0.0003962922188776,5626.02
2024-09-13,PSA,359.1600036621094,359.1600036621094,359.6600036621094,354.6400146484375,357.2900085449219,548900.0,NYQ,Public Storage,Public Storage,Real Estate,REIT - Industrial,359.16,62859464704,3349156096.0,0.045,Glendale,CA,United States,6200.0,0.0012039484600889,5626.02
2024-09-13,PHM,139.5399932861328,139.5399932861328,140.77000427246094,137.0,137.0,1968600.0,NYQ,"PulteGroup, Inc.","PulteGroup, Inc.",Consumer Cyclical,Residential Construction,139.54,28957896704,3721209088.0,0.098,Atlanta,GA,United States,6382.0,0.0005546311173403,5626.02
2024-09-13,QRVO,107.6500015258789,107.6500015258789,108.44100189208984,106.1500015258789,106.58999633789062,911900.0,NMS,"Qorvo, Inc.","Qorvo, Inc.",Technology,Semiconductors,107.65,10211818496,761272000.0,0.362,Greensboro,NC,United States,8700.0,0.0001955871436522,5626.02
2024-09-13,PWR,269.5400085449219,269.5400085449219,272.70001220703125,268.1600036621094,270.45001220703125,476600.0,NYQ,"Quanta Services, Inc.","Quanta Services, Inc.",Industrials,Engineering & Construction,269.54,39711330304,1792580992.0,0.108,Houston,TX,United States,52500.0,0.0007605918248384,5626.02
2024-09-13,QCOM,167.72999572753906,167.72999572753906,168.3000030517578,165.44000244140625,165.80999755859375,4040100.0,NMS,QUALCOMM Incorporated,QUALCOMM Incorporated,Technology,Semiconductors,167.73,186851213312,11564999680.0,0.111,San Diego,CA,United States,50000.0,0.0035787646552837,5626.02
2024-09-13,DGX,154.3800048828125,154.3800048828125,155.50999450683594,153.3300018310547,155.02000427246094,570700.0,NYQ,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,154.38,17185118208,1791000064.0,0.025,Secaucus,NJ,United States,50000.0,0.0003291468786824,5626.02
2024-09-13,RL,178.63999938964844,178.63999938964844,181.1300048828125,177.02999877929688,177.39999389648438,772600.0,NYQ,Ralph Lauren Corporation,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,178.64,11064854528,1036800000.0,0.01,New York,NY,United States,14800.0,0.0002119253581433,5626.02
2024-09-13,RTX,119.12000274658205,119.12000274658205,120.1999969482422,118.88999938964844,119.9000015258789,4418300.0,NYQ,RTX Corporation,RTX Corporation,Industrials,Aerospace & Defense,119.12,158458200064,9217000448.0,0.077,Arlington,VA,United States,185000.0,0.0030349527609543,5626.02
2024-09-13,O,62.709999084472656,62.709999084472656,62.900001525878906,62.09000015258789,62.81999969482422,3506000.0,NYQ,Realty Income Corporation,Realty Income Corporation,Real Estate,REIT - Retail,62.71,54612127744,4206477056.0,0.316,San Diego,CA,United States,418.0,0.001045987066692,5626.02
